[2026-05-09 07:49:03]   [1] batch 4299/19277 loss=5.4228 ppl=226.5 div=1.76e-02 wdiv=8.81e-04 lr=9.99e-05 | inst 26481 tok/s avg 12600 tok/s |  22.3% eta 57:54 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:49:14]   [1] batch 4349/19277 loss=5.3359 ppl=207.7 div=1.72e-02 wdiv=8.62e-04 lr=9.99e-05 | inst 26483 tok/s avg 12677 tok/s |  22.6% eta 57:43 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:49:26]   [1] batch 4399/19277 loss=4.8015 ppl=121.7 div=1.76e-02 wdiv=8.79e-04 lr=9.99e-05 | inst 25768 tok/s avg 12750 tok/s |  22.8% eta 59:07 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:49:38]   [1] batch 4449/19277 loss=5.4255 ppl=227.1 div=1.72e-02 wdiv=8.59e-04 lr=9.99e-05 | inst 26455 tok/s avg 12825 tok/s |  23.1% eta 57:23 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:49:49]   [1] batch 4499/19277 loss=5.2334 ppl=187.4 div=1.75e-02 wdiv=8.75e-04 lr=9.99e-05 | inst 26458 tok/s avg 12899 tok/s |  23.3% eta 57:11 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:50:01]   [1] batch 4549/19277 loss=5.5099 ppl=247.1 div=1.74e-02 wdiv=8.69e-04 lr=9.99e-05 | inst 25805 tok/s avg 12970 tok/s |  23.6% eta 58:26 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:50:13]   [1] batch 4599/19277 loss=5.3307 ppl=206.6 div=1.69e-02 wdiv=8.43e-04 lr=9.99e-05 | inst 26466 tok/s avg 13043 tok/s |  23.9% eta 56:47 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:50:25]   [1] batch 4649/19277 loss=5.6877 ppl=295.2 div=1.77e-02 wdiv=8.83e-04 lr=9.99e-05 | inst 26466 tok/s avg 13114 tok/s |  24.1% eta 56:35 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:50:36]   [1] batch 4699/19277 loss=5.2768 ppl=195.7 div=1.62e-02 wdiv=8.11e-04 lr=9.99e-05 | inst 25797 tok/s avg 13183 tok/s |  24.4% eta 57:51 | mem 2.1/21.0G peak 21.0G
[2026-05-09 07:50:48]   [1] batch 4749/19277 loss=5.1886 ppl=179.2 div=1.77e-02 wdiv=8.84e-04 lr=9.99e-05 | inst 26467 tok/s avg 13253 tok/s |  24.6% eta 56:12 | mem 2.1/21.0G peak 21.0G
