device=cuda preset=baseline_real_pm dataset=tinystories
[cache] Loaded TinyStories train from .cache/v7_tokens/tinystories_train_v2_ms20000_sl256_r1.pt (4,465,139 tokens)
[cache] Loaded TinyStories validation from .cache/v7_tokens/tinystories_validation_v2_ms20000_sl256_r1.pt (388,958 tokens)
Train chunks: 17374, Val chunks: 1513
params: 101,889,452 (101.89M)
step 453  loss=3.7551  lr=4.98e-05
step 454  loss=3.8704  lr=4.98e-05
step 455  loss=3.7222  lr=4.98e-05
step 456  loss=3.6301  lr=4.97e-05
step 457  loss=4.0420  lr=4.97e-05
step 458  loss=3.8479  lr=4.97e-05
step 459  loss=3.8406  lr=4.97e-05
step 460  loss=3.8854  lr=4.97e-05
step 461  loss=3.7100  lr=4.97e-05
step 462  loss=3.8016  lr=4.97e-05
step 463  loss=3.8742  lr=4.97e-05
step 464  loss=3.7336  lr=4.97e-05
step 465  loss=4.2165  lr=4.97e-05
step 466  loss=3.9467  lr=4.97e-05
step 467  loss=3.6085  lr=4.97e-05
step 468  loss=3.9010  lr=4.97e-05
step 469  loss=4.0173  lr=4.97e-05
step 470  loss=3.9469  lr=4.97e-05
step 471  loss=3.9882  lr=4.97e-05
step 472  loss=4.0000  lr=4.97e-05
step 473  loss=3.8847  lr=4.97e-05
step 474  loss=4.0595  lr=4.97e-05
step 475  loss=3.8168  lr=4.97e-05
step 476  loss=3.8768  lr=4.97e-05
step 477  loss=3.8129  lr=4.97e-05
step 478  loss=4.0220  lr=4.97e-05
step 479  loss=3.7747  lr=4.97e-05
step 480  loss=3.9859  lr=4.97e-05
step 481  loss=3.9424  lr=4.97e-05
step 482  loss=3.7263  lr=4.97e-05
step 483  loss=3.9843  lr=4.97e-05
step 484  loss=3.7447  lr=4.97e-05
step 485  loss=3.7595  lr=4.97e-05
step 486  loss=4.0642  lr=4.97e-05
step 487  loss=3.7282  lr=4.97e-05
step 488  loss=3.6453  lr=4.97e-05
step 489  loss=3.9139  lr=4.97e-05
step 490  loss=4.3924  lr=4.97e-05
step 491  loss=3.9014  lr=4.97e-05
step 492  loss=3.9359  lr=4.97e-05
step 493  loss=3.8494  lr=4.97e-05
step 494  loss=3.7940  lr=4.97e-05
step 495  loss=3.7412  lr=4.97e-05
step 496  loss=3.9930  lr=4.97e-05
step 497  loss=3.7726  lr=4.97e-05
step 498  loss=4.1497  lr=4.97e-05
step 499  loss=3.7351  lr=4.97e-05
step 500  loss=4.0928  lr=4.97e-05
step 501  loss=3.7709  lr=4.97e-05
step 502  loss=3.7769  lr=4.97e-05
step 503  loss=3.7572  lr=4.97e-05
step 504  loss=3.9305  lr=4.97e-05
step 505  loss=3.8769  lr=4.97e-05
step 506  loss=4.0367  lr=4.97e-05
step 507  loss=3.9004  lr=4.97e-05
step 508  loss=3.9175  lr=4.97e-05
step 509  loss=3.8068  lr=4.97e-05
step 510  loss=3.7688  lr=4.97e-05
step 511  loss=3.9442  lr=4.97e-05
step 512  loss=3.5569  lr=4.97e-05
step 513  loss=3.9027  lr=4.97e-05
step 514  loss=3.8568  lr=4.97e-05
step 515  loss=3.8251  lr=4.97e-05
step 516  loss=3.9358  lr=4.97e-05
step 517  loss=3.8403  lr=4.97e-05
step 518  loss=3.8972  lr=4.97e-05
step 519  loss=3.8273  lr=4.97e-05
step 520  loss=3.9152  lr=4.97e-05
step 521  loss=3.7489  lr=4.97e-05
step 522  loss=3.7965  lr=4.96e-05
step 523  loss=4.0817  lr=4.96e-05
step 524  loss=3.7142  lr=4.96e-05
step 525  loss=3.5788  lr=4.96e-05
step 526  loss=3.7318  lr=4.96e-05
step 527  loss=3.7077  lr=4.96e-05
step 528  loss=3.8380  lr=4.96e-05
step 529  loss=3.8923  lr=4.96e-05
step 530  loss=3.7539  lr=4.96e-05
step 531  loss=3.7556  lr=4.96e-05
step 532  loss=3.9303  lr=4.96e-05
step 533  loss=3.8189  lr=4.96e-05
step 534  loss=3.5716  lr=4.96e-05
step 535  loss=4.0752  lr=4.96e-05
step 536  loss=3.6294  lr=4.96e-05
step 537  loss=3.7395  lr=4.96e-05
step 538  loss=3.6342  lr=4.96e-05
step 539  loss=3.6280  lr=4.96e-05
step 540  loss=3.7575  lr=4.96e-05
step 541  loss=3.7148  lr=4.96e-05
step 542  loss=3.6972  lr=4.96e-05
step 543  loss=3.9284  lr=4.96e-05
step 544  loss=3.8307  lr=4.96e-05
step 545  loss=3.8735  lr=4.96e-05
step 546  loss=3.7514  lr=4.96e-05
step 547  loss=3.6556  lr=4.96e-05
step 548  loss=3.7083  lr=4.96e-05
step 549  loss=3.6905  lr=4.96e-05
step 550  loss=3.7077  lr=4.96e-05
step 551  loss=3.6555  lr=4.96e-05
step 552  loss=3.5766  lr=4.96e-05
step 553  loss=3.9001  lr=4.96e-05
step 554  loss=4.0142  lr=4.96e-05
step 555  loss=3.9874  lr=4.96e-05
step 556  loss=3.6122  lr=4.96e-05
step 557  loss=3.5475  lr=4.96e-05
step 558  loss=3.9150  lr=4.96e-05
step 559  loss=3.9489  lr=4.96e-05
step 560  loss=3.6874  lr=4.96e-05
step 561  loss=3.7265  lr=4.96e-05
step 562  loss=3.9104  lr=4.96e-05
step 563  loss=3.7286  lr=4.96e-05
step 564  loss=3.7420  lr=4.96e-05
step 565  loss=3.7181  lr=4.96e-05
step 566  loss=3.8466  lr=4.96e-05
step 567  loss=3.7718  lr=4.96e-05
step 568  loss=3.5564  lr=4.96e-05
step 569  loss=3.7071  lr=4.96e-05
step 570  loss=3.4576  lr=4.96e-05
step 571  loss=3.8290  lr=4.96e-05
step 572  loss=3.7852  lr=4.96e-05
step 573  loss=3.9402  lr=4.96e-05
step 574  loss=3.9431  lr=4.96e-05
step 575  loss=3.9217  lr=4.96e-05
step 576  loss=3.5520  lr=4.96e-05
step 577  loss=3.5826  lr=4.96e-05
